"","platform_code","longitude","latitude","Set"
"1",1,-169,-39,3
"2",2,-175,-31,1
"3",3,-172,-30,2
"4",4,-178,-37,2
"5",5,-175,-34,2
"6",6,-167,-36,2
"7",7,-187,-38,3
"8",8,-168,-36,2
"9",9,-189,-35,1
"10",10,-174,-32,2
"11",11,-182,-34,3
"12",12,-175,-32,3
"13",13,-165,-39,3
"14",14,-174,-33,3
"15",15,-188,-34,2
"16",16,-184,-38,1
"17",17,-180,-33,1
"18",18,-186,-37,2
"19",19,-171,-37,1
"20",20,-168,-34,2
"21",21,-181,-35,2
"22",22,-177,-39,2
"23",23,-169,-33,2
"24",24,-182,-34,2
"25",25,-179,-39,1
